DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,COPACABANA,5212000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,EL BAGRE,5250000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,ITUANGO,5361000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,3
ATLÁNTICO,BARRANQUILLA (CT),8001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,4
BOYACÁ,OTANCHE,15507000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CAQUETÁ,PUERTO RICO,18592000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CAUCA,ARGELIA,19050000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,FEMENINO,ADULTOS,1
CAUCA,ARGELIA,19050000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CAUCA,BOLÍVAR,19100000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CAUCA,PATÍA,19532000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CAUCA,POPAYÁN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CESAR,VALLEDUPAR (CT),20001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,5
CUNDINAMARCA,FACATATIVÁ,25269000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
CUNDINAMARCA,NARIÑO,25483000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
HUILA,HOBO,41349000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,2
HUILA,NEIVA (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
HUILA,PALERMO,41524000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
HUILA,VILLAVIEJA,41872000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
META,PUERTO CONCORDIA,50450000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADULTOS,1
NARIÑO,EL PEÑOL,52254000,ARMA BLANCA / CORTOPUNZANTE,1/1/2017,MASCULINO,ADOLESCENTES,1
