DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMA MEDIO,FECHA HECHO,GENERO,AGRUPA EDAD,CANTIDAD
ATLÁNTICO,MALAMBO,08433000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
VALLE,BUENAVENTURA,76109000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
NARIÑO,LEIVA,52405000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,LA CEJA,05376000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
VALLE,BOLÍVAR,76100000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
VALLE,PRADERA,76563000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADOLESCENTES,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADOLESCENTES,1
BOLÍVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,ITAGUI,05360000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,PUERTO SALGAR,25572000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,TURBO,05837000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLÍN (CT),05001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
CAQUETÁ,FLORENCIA (CT),18001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,1/1/2019,MASCULINO,ADULTOS,1
