ARMA MEDIO,DEPARTAMENTO,MUNICIPIO,FECHA HECHO,GENERO,AGRUPA EDAD,CODIGO DANE,CANTIDAD
ARMA BLANCA / CORTOPUNZANTE,AMAZONAS,LETICIA (CT),08/05/2022,MASCULINO,ADULTOS,91001000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ABEJORRAL,31/07/2022,MASCULINO,ADULTOS,05002000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,AMALFI,16/07/2022,MASCULINO,ADULTOS,05031000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANDES,13/02/2022,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANDES,15/04/2022,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANDES,14/05/2022,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANDES,04/06/2022,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANDES,25/06/2022,MASCULINO,ADOLESCENTES,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANDES,25/07/2022,MASCULINO,ADULTOS,05034000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANGOSTURA,22/05/2022,MASCULINO,ADULTOS,05038000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANORÍ,07/03/2022,MASCULINO,ADULTOS,05040000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ANORÍ,22/05/2022,MASCULINO,ADULTOS,05040000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,28/01/2022,MASCULINO,ADULTOS,05045000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,16/02/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,21/03/2022,MASCULINO,ADULTOS,05045000,2
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,31/03/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,01/05/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,15/05/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,21/06/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,07/08/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,11/08/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,APARTADÓ,14/08/2022,MASCULINO,ADULTOS,05045000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BARBOSA,14/05/2022,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BARBOSA,22/05/2022,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BARBOSA,26/05/2022,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BARBOSA,27/05/2022,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BARBOSA,22/07/2022,MASCULINO,ADULTOS,05079000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BELLO,07/02/2022,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BELLO,03/03/2022,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BELLO,02/06/2022,FEMENINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BELLO,27/06/2022,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BELLO,03/07/2022,MASCULINO,ADULTOS,05088000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BETANIA,10/02/2022,MASCULINO,ADULTOS,05091000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BURITICÁ,18/01/2022,MASCULINO,ADULTOS,05113000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,BURITICÁ,12/05/2022,MASCULINO,ADULTOS,05113000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CÁCERES,02/02/2022,MASCULINO,ADULTOS,05120000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CÁCERES,29/08/2022,MASCULINO,ADULTOS,05120000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CAICEDO,17/07/2022,MASCULINO,ADULTOS,05125000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CALDAS,02/02/2022,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CALDAS,27/02/2022,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CALDAS,21/03/2022,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CALDAS,10/04/2022,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CALDAS,10/08/2022,MASCULINO,ADULTOS,05129000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CARAMANTA,20/02/2022,MASCULINO,ADULTOS,05145000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CAREPA,30/01/2022,MASCULINO,ADULTOS,05147000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CHIGORODÓ,01/02/2022,MASCULINO,ADULTOS,05172000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CHIGORODÓ,22/05/2022,MASCULINO,ADULTOS,05172000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CHIGORODÓ,15/08/2022,MASCULINO,ADOLESCENTES,05172000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,11/01/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,23/01/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,31/01/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CISNEROS,30/03/2022,MASCULINO,ADULTOS,05190000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,CIUDAD BOLÍVAR,16/02/2022,MASCULINO,ADULTOS,05101000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,COPACABANA,16/02/2022,MASCULINO,ADULTOS,05212000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,DABEIBA,29/01/2022,MASCULINO,ADULTOS,05234000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,DABEIBA,08/03/2022,MASCULINO,ADULTOS,05234000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,DABEIBA,14/05/2022,MASCULINO,ADULTOS,05234000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL BAGRE,02/01/2022,MASCULINO,ADULTOS,05250000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL BAGRE,16/07/2022,MASCULINO,ADULTOS,05250000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL BAGRE,16/08/2022,FEMENINO,ADULTOS,05250000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL CARMEN DE VIBORAL,24/05/2022,MASCULINO,ADULTOS,05148000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL CARMEN DE VIBORAL,12/06/2022,MASCULINO,ADULTOS,05148000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,EL SANTUARIO,01/05/2022,MASCULINO,ADULTOS,05697000,1
ARMA BLANCA / CORTOPUNZANTE,ANTIOQUIA,ENVIGADO,03/01/2022,MASCULINO,ADULTOS,05266000,1
